statename,districtname,blockname,season,sector,category,crop,querytype,querytext,createdon,year,month,clean_query
TELANGANA,KARIMNAGAR,MOHADI,,HORTICULTURE,Nutrient,Others,Market,Farmer asked about nutrient spray for flowering in Wheat?,2025-01-04T22:50:00,2025,1,farmer asked about nutrient spray for flowering in wheat
KARNATAKA,MYSURU,RALEGAON,,HORTICULTURE,Other,Others,Seeds,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-03-13T23:41:00,2025,3,famer asked about how to store turmeric rhizomes
KARNATAKA,BELAGAVI,SAKOLI,,AGRICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-01-22T14:03:00,2025,1,farmer asked about use of nutrient application through spray for increasing size and quality of onion 
TELANGANA,WARANGAL,RALEGAON,,AGRICULTURE,Other,Others,Seeds,Farmer asked about crop insurance for Sesame?,2025-01-12T17:09:00,2025,1,farmer asked about crop insurance for sesame
KARNATAKA,HUBBALLI,RALEGAON,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-02-17T20:10:00,2025,2,farmer asked about farmer id card problem
MAHARASHTRA,AKOLA,PAUNI,,AGRICULTURE,Pest,Others,Plant Protection,Farmer asked about disease management in Onion?,2025-03-16T11:09:00,2025,3,farmer asked about disease management in onion
TELANGANA,WARANGAL,UMARKHED,,HORTICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-01-06T02:58:00,2025,1,farmer asked about kisan credit card
MADHYA PRADESH,BHOPAL,MOHADI,,HORTICULTURE,Market,Others,Seeds,FARMER ASKED ABOUT MARKET INFORMATION OF SOYBEAN CROP FROM WARDHA MARKET ?,2025-02-20T23:36:00,2025,2,farmer asked about market information of soybean crop from wardha market 
KARNATAKA,MYSURU,UMARKHED,,HORTICULTURE,Nutrient,Others,Seeds,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-02-22T06:43:00,2025,2,farmer asked about fertilizer doses for citrus crop 
UTTAR PRADESH,MEERUT,MOHADI,,HORTICULTURE,Other,Others,Seeds,Farmer asked about storage method for Soybean?,2025-02-23T11:49:00,2025,2,farmer asked about storage method for soybean
MAHARASHTRA,LATUR,PUSAD,,HORTICULTURE,Pest,Others,Plant Protection,Farmer asked about disease management in Orange?,2025-02-06T08:08:00,2025,2,farmer asked about disease management in orange
TELANGANA,WARANGAL,UMARKHED,,AGRICULTURE,Nutrient,Others,Government Schemes,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-02-19T02:25:00,2025,2,farmer asked about fertilizer dose for soybean crop
UTTAR PRADESH,MEERUT,PAUNI,,AGRICULTURE,Pest,Others,Market,Farmer asked about pest control in Tomato?,2025-03-21T02:38:00,2025,3,farmer asked about pest control in tomato
MAHARASHTRA,NAGPUR,MOHADI,,HORTICULTURE,Other,Others,Weather,Farmer asked about weed management in Chilli?,2025-03-23T04:53:00,2025,3,farmer asked about weed management in chilli
KARNATAKA,HUBBALLI,PAUNI,,HORTICULTURE,Weather,Others,Market,Farmer asked about weather impact on Chilli?,2025-03-07T14:54:00,2025,3,farmer asked about weather impact on chilli
UTTAR PRADESH,MEERUT,RALEGAON,,AGRICULTURE,Other,Others,Weather,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-27T05:31:00,2025,1,farmer asked about post harvest management in turmeric seed storage 
UTTAR PRADESH,LUCKNOW,PUSAD,,HORTICULTURE,Weather,Others,Market,Farmer asked query on Weather,2025-03-24T08:03:00,2025,3,farmer asked query on weather
MADHYA PRADESH,UJJAIN,MOHADI,,HORTICULTURE,Market,Others,Government Schemes,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-02-16T09:46:00,2025,2,farmer asked about market rate of tur in latur market
MADHYA PRADESH,UJJAIN,SAKOLI,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about suitable variety for Chilli?,2025-03-04T21:23:00,2025,3,farmer asked about suitable variety for chilli
UTTAR PRADESH,LUCKNOW,PUSAD,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT WHICH VARIETIES ARE SUTAIBLE FOR PIGEON PEA CROP PRODUCTION ?,2025-01-17T00:59:00,2025,1,farmer asked about which varieties are sutaible for pigeon pea crop production 
UTTAR PRADESH,KANPUR,UMARKHED,,HORTICULTURE,Other,Others,Weather,Farmer asked about crop insurance for Green gram?,2025-03-04T15:53:00,2025,3,farmer asked about crop insurance for green gram
TELANGANA,KARIMNAGAR,MOHADI,,HORTICULTURE,Other,Others,Government Schemes,Farmer asked about suitable variety for Groundnut?,2025-02-07T02:20:00,2025,2,farmer asked about suitable variety for groundnut
MADHYA PRADESH,INDORE,UMARKHED,,HORTICULTURE,Scheme,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-14T05:42:00,2025,2,farmer asked about drip irrigation schemes 
MADHYA PRADESH,INDORE,UMARKHED,,AGRICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-01-08T10:41:00,2025,1,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
UTTAR PRADESH,KANPUR,UMARKHED,,HORTICULTURE,Market,Others,Plant Protection,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-01-30T03:59:00,2025,1,farmer asked about market rate of turmeric crop
MAHARASHTRA,NAGPUR,MOHADI,,AGRICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET INFORMATION OF SOYBEAN CROP FROM WARDHA MARKET ?,2025-02-16T09:05:00,2025,2,farmer asked about market information of soybean crop from wardha market 
UTTAR PRADESH,LUCKNOW,MOHADI,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about irrigation schedule for Green gram?,2025-03-05T10:37:00,2025,3,farmer asked about irrigation schedule for green gram
KARNATAKA,HUBBALLI,PUSAD,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-19T14:37:00,2025,3,farmer asked about post harvest management in turmeric seed storage 
MAHARASHTRA,WARDHA,RALEGAON,,AGRICULTURE,Market,Others,Market,Farmer asked about market rate of Green gram?,2025-03-24T01:21:00,2025,3,farmer asked about market rate of green gram
TELANGANA,KARIMNAGAR,RALEGAON,,HORTICULTURE,Scheme,Others,Seeds,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-24T18:06:00,2025,1,farmer asked about drip irrigation schemes 
MAHARASHTRA,LATUR,MOHADI,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-13T22:58:00,2025,1,farmer asked about farmer id card problem
UTTAR PRADESH,KANPUR,UMARKHED,,HORTICULTURE,Other,Others,Weather,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-03-17T02:50:00,2025,3,farmer asked about control blight attack in green gram 
TELANGANA,KARIMNAGAR,SAKOLI,,HORTICULTURE,Other,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-10T18:18:00,2025,1,farmer asked about post harvest management in turmeric seed storage 
TELANGANA,KARIMNAGAR,PUSAD,,AGRICULTURE,Other,Others,Weather,Farmer asked about weed management in Orange?,2025-01-31T04:59:00,2025,1,farmer asked about weed management in orange
KARNATAKA,MYSURU,MOHADI,,HORTICULTURE,Other,Others,Market,FARMER ASKED ABOUT WHICH VARIETIES ARE SUTAIBLE FOR PIGEON PEA CROP PRODUCTION ?,2025-02-25T11:35:00,2025,2,farmer asked about which varieties are sutaible for pigeon pea crop production 
UTTAR PRADESH,KANPUR,SAKOLI,,HORTICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-03-11T11:43:00,2025,3,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
MAHARASHTRA,AKOLA,RALEGAON,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about weed management in Soybean?,2025-02-13T05:05:00,2025,2,farmer asked about weed management in soybean
MADHYA PRADESH,INDORE,PAUNI,,HORTICULTURE,Other,Others,Market,Farmer asked about weed management in Watermelon?,2025-01-23T18:54:00,2025,1,farmer asked about weed management in watermelon
TELANGANA,KARIMNAGAR,PUSAD,,HORTICULTURE,Other,Others,Market,Farmer asked about weed management in Cotton?,2025-03-08T07:26:00,2025,3,farmer asked about weed management in cotton
UTTAR PRADESH,KANPUR,PAUNI,,HORTICULTURE,Other,Others,Market,Farmer asked about weed management in Green gram?,2025-02-22T09:12:00,2025,2,farmer asked about weed management in green gram
MADHYA PRADESH,INDORE,SAKOLI,,AGRICULTURE,Pest,Others,Weather,Farmer asked about pest control in Chilli?,2025-03-10T14:47:00,2025,3,farmer asked about pest control in chilli
UTTAR PRADESH,LUCKNOW,PAUNI,,HORTICULTURE,Market,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF GREEN GRAM IN PUSAD MARKET ?,2025-03-24T14:25:00,2025,3,farmer asked about market rate of green gram in pusad market 
MADHYA PRADESH,INDORE,UMARKHED,,AGRICULTURE,Other,Others,Weather,Farmer asked about suitable variety for Turmeric?,2025-03-01T10:49:00,2025,3,farmer asked about suitable variety for turmeric
UTTAR PRADESH,LUCKNOW,MOHADI,,HORTICULTURE,Pest,Others,Nutrient Management,Farmer asked about pest control in Maize?,2025-03-11T23:47:00,2025,3,farmer asked about pest control in maize
KARNATAKA,BELAGAVI,RALEGAON,,HORTICULTURE,Weather,Others,Weather,Farmer asked query on Weather,2025-02-04T12:57:00,2025,2,farmer asked query on weather
TELANGANA,WARANGAL,PUSAD,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about crop insurance for Soybean?,2025-02-26T17:59:00,2025,2,farmer asked about crop insurance for soybean
UTTAR PRADESH,KANPUR,PUSAD,,HORTICULTURE,Market,Others,Seeds,FARMER ASKED ABOUT MARKET RATE OF GREEN GRAM IN PUSAD MARKET ?,2025-02-09T10:54:00,2025,2,farmer asked about market rate of green gram in pusad market 
MAHARASHTRA,YAVATMAL,PUSAD,,AGRICULTURE,Scheme,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-10T16:05:00,2025,1,farmer asked about drip irrigation schemes 
MADHYA PRADESH,UJJAIN,SAKOLI,,AGRICULTURE,Market,Others,Plant Protection,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-02-20T07:38:00,2025,2,farmer asked about market rate of bengal gram
KARNATAKA,HUBBALLI,SAKOLI,,AGRICULTURE,Pest,Others,Government Schemes,Farmer asked about disease management in Tomato?,2025-02-25T15:06:00,2025,2,farmer asked about disease management in tomato
TELANGANA,WARANGAL,RALEGAON,,HORTICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-03-10T12:06:00,2025,3,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
MAHARASHTRA,LATUR,MOHADI,,HORTICULTURE,Market,Others,Market,FARMER ASKED ABOUT MARKET INFORMATION OF SOYBEAN CROP FROM WARDHA MARKET ?,2025-03-06T18:15:00,2025,3,farmer asked about market information of soybean crop from wardha market 
MADHYA PRADESH,UJJAIN,UMARKHED,,HORTICULTURE,Nutrient,Others,Government Schemes,Farmer asked about fertilizer dose for Pigeon pea?,2025-01-17T04:01:00,2025,1,farmer asked about fertilizer dose for pigeon pea
UTTAR PRADESH,LUCKNOW,RALEGAON,,HORTICULTURE,Scheme,Others,Plant Protection,Farmer asked about government subsidy for Sesame?,2025-01-16T09:33:00,2025,1,farmer asked about government subsidy for sesame
KARNATAKA,BELAGAVI,PAUNI,,HORTICULTURE,Market,Others,Seeds,FARMER ASKED ABOUT MARKET INFORMATION OF SOYBEAN CROP FROM WARDHA MARKET ?,2025-03-22T11:45:00,2025,3,farmer asked about market information of soybean crop from wardha market 
TELANGANA,WARANGAL,PUSAD,,HORTICULTURE,Weather,Others,Plant Protection,Farmer asked about weather impact on Turmeric?,2025-01-01T04:38:00,2025,1,farmer asked about weather impact on turmeric
KARNATAKA,MYSURU,SAKOLI,,HORTICULTURE,Nutrient,Others,Weather,Farmer asked about fertilizer dose for Turmeric?,2025-02-04T04:11:00,2025,2,farmer asked about fertilizer dose for turmeric
UTTAR PRADESH,KANPUR,RALEGAON,,AGRICULTURE,Nutrient,Others,Plant Protection,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-01T13:49:00,2025,1,farmer asked about fertilizer dose for soybean crop
KARNATAKA,HUBBALLI,PUSAD,,HORTICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-01-22T07:46:00,2025,1,farmer asked about harvestin time of groundnut
TELANGANA,KARIMNAGAR,PAUNI,,HORTICULTURE,Nutrient,Others,Plant Protection,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-13T09:14:00,2025,3,farmer asked about fertilizer doses for citrus crop 
TELANGANA,KARIMNAGAR,MOHADI,,HORTICULTURE,Other,Others,Weather,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-03-04T11:38:00,2025,3,farmer asked about kisan credit card
TELANGANA,KARIMNAGAR,SAKOLI,,AGRICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-10T02:42:00,2025,3,farmer asked about market rate of bengal gram
UTTAR PRADESH,MEERUT,PAUNI,,HORTICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-01-06T06:46:00,2025,1,farmer asked about pradhanmantri fasal bima yojana helpline number
UTTAR PRADESH,LUCKNOW,MOHADI,,HORTICULTURE,Pest,Others,Weather,Farmer asked about disease management in Maize?,2025-02-12T20:40:00,2025,2,farmer asked about disease management in maize
KARNATAKA,MYSURU,UMARKHED,,HORTICULTURE,Nutrient,Others,Government Schemes,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-04T10:09:00,2025,1,farmer asked about fertilizer dose for soybean crop
KARNATAKA,BELAGAVI,PAUNI,,HORTICULTURE,Weather,Others,Plant Protection,Farmer asked about weather impact on Onion?,2025-02-23T08:21:00,2025,2,farmer asked about weather impact on onion
TELANGANA,KARIMNAGAR,PAUNI,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about storage method for Orange?,2025-02-12T20:30:00,2025,2,farmer asked about storage method for orange
MAHARASHTRA,NAGPUR,SAKOLI,,HORTICULTURE,Pest,Others,Weather,Farmer asked about disease management in Tomato?,2025-02-20T05:43:00,2025,2,farmer asked about disease management in tomato
MADHYA PRADESH,INDORE,MOHADI,,AGRICULTURE,Weather,Others,Market,Farmer asked query on Weather,2025-02-18T23:51:00,2025,2,farmer asked query on weather
UTTAR PRADESH,LUCKNOW,MOHADI,,AGRICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-02-16T20:33:00,2025,2,farmer asked about kisan credit card
MAHARASHTRA,NAGPUR,MOHADI,,HORTICULTURE,Scheme,Others,Plant Protection,Farmer asked about government subsidy for Wheat?,2025-02-06T22:16:00,2025,2,farmer asked about government subsidy for wheat
TELANGANA,KARIMNAGAR,PUSAD,,HORTICULTURE,Nutrient,Others,Weather,Farmer asked about nutrient spray for flowering in Watermelon?,2025-01-15T13:41:00,2025,1,farmer asked about nutrient spray for flowering in watermelon
KARNATAKA,HUBBALLI,SAKOLI,,HORTICULTURE,Market,Others,Market,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-03-11T05:27:00,2025,3,farmer asked about market rate of tur in latur market
MAHARASHTRA,AKOLA,RALEGAON,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about irrigation schedule for Bengal gram?,2025-03-20T00:07:00,2025,3,farmer asked about irrigation schedule for bengal gram
UTTAR PRADESH,LUCKNOW,PUSAD,,HORTICULTURE,Other,Others,Seeds,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-03-03T17:46:00,2025,3,famer asked about how to store turmeric rhizomes
MAHARASHTRA,YAVATMAL,MOHADI,,HORTICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT WHICH VARIETIES ARE SUTAIBLE FOR PIGEON PEA CROP PRODUCTION ?,2025-01-06T02:56:00,2025,1,farmer asked about which varieties are sutaible for pigeon pea crop production 
MADHYA PRADESH,BHOPAL,PUSAD,,AGRICULTURE,Market,Others,Weather,Farmer asked about market rate of Onion?,2025-02-23T03:30:00,2025,2,farmer asked about market rate of onion
KARNATAKA,BELAGAVI,PAUNI,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about suitable variety for Tomato?,2025-01-09T11:54:00,2025,1,farmer asked about suitable variety for tomato
KARNATAKA,HUBBALLI,PAUNI,,HORTICULTURE,Scheme,Others,Weather,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-03-11T23:13:00,2025,3,farmer asked about drip irrigation schemes 
TELANGANA,WARANGAL,MOHADI,,AGRICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-02-23T14:16:00,2025,2,farmer asked about fertilizer dose for soybean crop
UTTAR PRADESH,LUCKNOW,PUSAD,,AGRICULTURE,Other,Others,Weather,Farmer asked about suitable variety for Cotton?,2025-01-21T14:19:00,2025,1,farmer asked about suitable variety for cotton
MAHARASHTRA,AKOLA,PUSAD,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-01-09T12:09:00,2025,1,farmer asked about control of blight attack on paddy crop 
UTTAR PRADESH,LUCKNOW,MOHADI,,AGRICULTURE,Market,Others,Nutrient Management,Farmer asked about market rate of Green gram?,2025-02-20T14:09:00,2025,2,farmer asked about market rate of green gram
KARNATAKA,MYSURU,PAUNI,,HORTICULTURE,Weather,Others,Seeds,Farmer asked query on Weather,2025-03-04T01:01:00,2025,3,farmer asked query on weather
TELANGANA,KARIMNAGAR,PAUNI,,HORTICULTURE,Weather,Others,Plant Protection,Farmer asked query on Weather,2025-02-21T05:38:00,2025,2,farmer asked query on weather
KARNATAKA,HUBBALLI,UMARKHED,,AGRICULTURE,Other,Others,Seeds,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-03-05T05:56:00,2025,3,farmer asked about harvestin time of groundnut
MADHYA PRADESH,INDORE,PUSAD,,AGRICULTURE,Weather,Others,Weather,Farmer asked about weather impact on Bengal gram?,2025-03-10T13:31:00,2025,3,farmer asked about weather impact on bengal gram
MAHARASHTRA,NAGPUR,MOHADI,,HORTICULTURE,Other,Others,Weather,Farmer asked about irrigation schedule for Orange?,2025-02-15T23:28:00,2025,2,farmer asked about irrigation schedule for orange
UTTAR PRADESH,MEERUT,SAKOLI,,HORTICULTURE,Weather,Others,Weather,Farmer asked query on Weather,2025-03-03T20:42:00,2025,3,farmer asked query on weather
KARNATAKA,HUBBALLI,PUSAD,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about crop insurance for Turmeric?,2025-01-30T13:41:00,2025,1,farmer asked about crop insurance for turmeric
MAHARASHTRA,WARDHA,SAKOLI,,HORTICULTURE,Market,Others,Government Schemes,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-02-02T04:09:00,2025,2,farmer asked about market rate of turmeric crop
UTTAR PRADESH,MEERUT,SAKOLI,,HORTICULTURE,Market,Others,Weather,Farmer asked about market rate of Sugarcane?,2025-03-23T01:13:00,2025,3,farmer asked about market rate of sugarcane
UTTAR PRADESH,MEERUT,UMARKHED,,HORTICULTURE,Other,Others,Market,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-02-12T20:07:00,2025,2,farmer asked about farmer id card problem
KARNATAKA,HUBBALLI,UMARKHED,,AGRICULTURE,Other,Others,Seeds,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-02-15T22:18:00,2025,2,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
MAHARASHTRA,WARDHA,PUSAD,,AGRICULTURE,Pest,Others,Market,Farmer asked about pest control in Tomato?,2025-03-12T12:42:00,2025,3,farmer asked about pest control in tomato
UTTAR PRADESH,MEERUT,SAKOLI,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-02-06T15:40:00,2025,2,farmer asked about control blight attack in green gram 
MADHYA PRADESH,INDORE,MOHADI,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about sowing time of Tomato?,2025-03-02T11:04:00,2025,3,farmer asked about sowing time of tomato
MAHARASHTRA,AKOLA,PUSAD,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-15T03:04:00,2025,3,farmer asked about post harvest management in turmeric seed storage 
MAHARASHTRA,YAVATMAL,SAKOLI,,AGRICULTURE,Other,Others,Market,Farmer asked about weed management in Soybean?,2025-01-02T10:16:00,2025,1,farmer asked about weed management in soybean
KARNATAKA,BELAGAVI,PAUNI,,HORTICULTURE,Weather,Others,Market,Farmer asked about weather impact on Groundnut?,2025-03-03T15:26:00,2025,3,farmer asked about weather impact on groundnut
MAHARASHTRA,LATUR,PUSAD,,HORTICULTURE,Other,Others,Market,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-01-12T06:10:00,2025,1,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
TELANGANA,WARANGAL,MOHADI,,HORTICULTURE,Other,Others,Weather,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-02-15T19:56:00,2025,2,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
MAHARASHTRA,NAGPUR,PAUNI,,HORTICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-03-23T16:00:00,2025,3,farmer asked about agristack helpline number 
MADHYA PRADESH,BHOPAL,SAKOLI,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about weed management in Groundnut?,2025-03-22T17:23:00,2025,3,farmer asked about weed management in groundnut
MADHYA PRADESH,UJJAIN,SAKOLI,,HORTICULTURE,Other,Others,Seeds,Farmer asked about crop insurance for Bengal gram?,2025-03-11T16:45:00,2025,3,farmer asked about crop insurance for bengal gram
UTTAR PRADESH,KANPUR,UMARKHED,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about sowing time of Bengal gram?,2025-02-03T00:26:00,2025,2,farmer asked about sowing time of bengal gram
UTTAR PRADESH,KANPUR,SAKOLI,,AGRICULTURE,Pest,Others,Government Schemes,Farmer asked about disease management in Green gram?,2025-02-15T07:13:00,2025,2,farmer asked about disease management in green gram
TELANGANA,WARANGAL,MOHADI,,HORTICULTURE,Other,Others,Market,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-02-07T20:03:00,2025,2,farmer asked about harvestin time of groundnut
MAHARASHTRA,YAVATMAL,MOHADI,,AGRICULTURE,Market,Others,Market,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-02-04T09:36:00,2025,2,farmer asked about market rate of tur in latur market
MADHYA PRADESH,UJJAIN,RALEGAON,,HORTICULTURE,Pest,Others,Weather,Farmer asked about pest control in Groundnut?,2025-03-02T14:40:00,2025,3,farmer asked about pest control in groundnut
MADHYA PRADESH,INDORE,MOHADI,,AGRICULTURE,Other,Others,Government Schemes,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-02-24T20:27:00,2025,2,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
TELANGANA,KARIMNAGAR,PUSAD,,HORTICULTURE,Other,Others,Weather,Farmer asked about sowing time of Pigeon pea?,2025-01-21T03:47:00,2025,1,farmer asked about sowing time of pigeon pea
MAHARASHTRA,LATUR,MOHADI,,AGRICULTURE,Market,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-22T20:23:00,2025,3,farmer asked about market rate of bengal gram
TELANGANA,WARANGAL,PUSAD,,HORTICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-03-18T04:43:00,2025,3,farmer asked about sowing time turmeric crop
TELANGANA,KARIMNAGAR,UMARKHED,,HORTICULTURE,Other,Others,Market,Farmer asked about suitable variety for Groundnut?,2025-01-08T21:22:00,2025,1,farmer asked about suitable variety for groundnut
UTTAR PRADESH,MEERUT,MOHADI,,HORTICULTURE,Other,Others,Government Schemes,Farmer asked about sowing time of Green gram?,2025-01-18T11:26:00,2025,1,farmer asked about sowing time of green gram
UTTAR PRADESH,LUCKNOW,PUSAD,,HORTICULTURE,Other,Others,Market,Farmer asked about storage method for Wheat?,2025-01-03T22:21:00,2025,1,farmer asked about storage method for wheat
TELANGANA,KARIMNAGAR,PAUNI,,HORTICULTURE,Other,Others,Seeds,Farmer asked about weed management in Tomato?,2025-01-24T07:55:00,2025,1,farmer asked about weed management in tomato
KARNATAKA,HUBBALLI,SAKOLI,,HORTICULTURE,Nutrient,Others,Nutrient Management,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-09T10:26:00,2025,3,farmer asked about fertilizer doses for citrus crop 
UTTAR PRADESH,MEERUT,PUSAD,,HORTICULTURE,Other,Others,Seeds,Farmer asked about irrigation schedule for Maize?,2025-03-24T11:57:00,2025,3,farmer asked about irrigation schedule for maize
UTTAR PRADESH,LUCKNOW,PUSAD,,HORTICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-01-03T14:27:00,2025,1,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
KARNATAKA,HUBBALLI,RALEGAON,,HORTICULTURE,Market,Others,Plant Protection,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-01-27T08:15:00,2025,1,farmer asked about market rate of turmeric crop
MAHARASHTRA,LATUR,UMARKHED,,HORTICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-01-02T05:15:00,2025,1,farmer asked about market rate of turmeric crop
MAHARASHTRA,LATUR,RALEGAON,,AGRICULTURE,Other,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-01-06T19:49:00,2025,1,famer asked about how to store turmeric rhizomes
KARNATAKA,MYSURU,PUSAD,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-01-28T19:01:00,2025,1,farmer asked about control blight attack in green gram 
TELANGANA,WARANGAL,SAKOLI,,AGRICULTURE,Nutrient,Others,Government Schemes,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-03-21T22:58:00,2025,3,farmer asked about fertilizer dose for soybean crop
MADHYA PRADESH,BHOPAL,UMARKHED,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about sowing time of Onion?,2025-03-18T22:24:00,2025,3,farmer asked about sowing time of onion
